audit,channel,test_split,test_index,memory_pool_size,max_instruction_similarity,nearest_instruction_memory_index,min_plan_edit_distance,nearest_edit_memory_index,max_plan_trigram_jaccard,nearest_ngram_memory_index,full_signature_overlap,published_routed_skill
strict_split,episode_heldout,test,547,1232,0.9999999403953552,2543,0,57,1.0,57,True,
strict_split,episode_heldout,test,559,1232,1.0,581,0,102,1.0,102,True,
strict_split,episode_heldout,test,578,1232,0.9999999403953552,2348,0,145,1.0,145,True,
strict_split,episode_heldout,test,580,1232,0.9999999403953552,491,0,82,1.0,82,True,
strict_split,episode_heldout,test,583,1232,1.0,252,0,82,1.0,82,True,
strict_split,episode_heldout,test,588,1232,1.0,29,0,56,1.0,56,True,
strict_split,episode_heldout,test,604,1232,0.9999999403953552,3033,0,38,1.0,38,True,
strict_split,episode_heldout,test,629,1232,0.9999997615814209,217,0,82,1.0,82,True,
strict_split,episode_heldout,test,631,1232,0.9999999403953552,491,0,15,1.0,15,True,
strict_split,episode_heldout,test,637,1232,1.0,581,0,57,1.0,57,True,
strict_split,episode_heldout,test,659,1232,0.9999999403953552,3033,0,57,1.0,57,True,
strict_split,episode_heldout,test,681,1232,0.9999998807907104,2075,0,38,1.0,38,True,
strict_split,episode_heldout,test,719,1232,0.9999997019767761,202,0,73,1.0,73,True,
strict_split,episode_heldout,test,742,1232,0.9999999403953552,129,0,29,1.0,29,True,
strict_split,episode_heldout,test,757,1232,0.9999998807907104,70,0,249,1.0,249,True,
strict_split,episode_heldout,test,764,1232,0.9999999403953552,2661,0,82,1.0,82,True,
strict_split,episode_heldout,test,776,1232,1.0000001192092896,20,0,20,1.0,20,True,
strict_split,episode_heldout,test,790,1232,0.9999998211860657,672,0,468,1.0,468,True,
strict_split,episode_heldout,test,825,1232,0.9999999403953552,4769,0,145,1.0,145,True,
strict_split,episode_heldout,test,859,1232,0.9999997615814209,38,0,73,1.0,73,True,
strict_split,episode_heldout,test,864,1232,0.9999998807907104,170,0,186,1.0,186,True,
strict_split,episode_heldout,test,872,1232,0.9999998211860657,57,0,57,1.0,57,True,
strict_split,episode_heldout,test,935,1232,0.9999998807907104,315,0,38,1.0,38,True,
strict_split,episode_heldout,test,937,1232,0.9999997615814209,145,0,82,1.0,82,True,
strict_split,episode_heldout,test,965,1232,0.9999997615814209,1039,0,249,1.0,249,True,
strict_split,episode_heldout,test,1016,1232,0.9999999403953552,4769,0,38,1.0,38,True,
strict_split,episode_heldout,test,1025,1232,1.0,5712,0,57,1.0,57,True,
strict_split,episode_heldout,test,1035,1232,1.0,3984,0,82,1.0,82,True,
strict_split,episode_heldout,test,1081,1232,0.9999999403953552,2348,0,184,1.0,184,True,
strict_split,episode_heldout,test,1099,1232,1.0,29,0,73,1.0,73,True,
strict_split,episode_heldout,test,1144,1232,1.0,3984,0,38,1.0,38,True,
strict_split,episode_heldout,test,1160,1232,0.9999998211860657,233,0,73,1.0,73,True,
strict_split,episode_heldout,test,1170,1232,1.0,252,0,82,1.0,82,True,
strict_split,episode_heldout,test,1182,1232,0.9999998807907104,82,0,38,1.0,38,True,
strict_split,episode_heldout,test,1243,1232,1.0,3912,0,57,1.0,57,True,
strict_split,episode_heldout,test,1251,1232,1.0,662,0,38,1.0,38,True,
strict_split,episode_heldout,test,1284,1232,0.9999998807907104,58,0,73,1.0,73,True,
strict_split,episode_heldout,test,1296,1232,0.9999998807907104,263,0,82,1.0,82,True,
strict_split,episode_heldout,test,1346,1232,0.9999999403953552,2661,0,82,1.0,82,True,
